id,start,end
363,106438,106631
364,105778,106647
365,106438,106647
366,105778,106659
367,106438,106659
368,105778,106673
369,105778,106680
370,106438,106730
371,105778,106929
372,106598,106929
373,105778,106957
374,106598,106957
375,105778,106983
376,106598,106983
377,106804,106983
378,106806,107024
379,106758,107076
380,105778,107093
381,105778,107093
382,106598,107093
383,106598,107093
384,106804,107093
385,106804,107093
386,106868,107093
387,106868,107093
388,106598,107144
389,106804,107144
390,106868,107144
391,106724,107146
392,107062,107287
393,106983,107303
394,107021,107303
395,107062,107303
396,107021,107364
397,107062,107364
398,107144,107364
399,106674,107413
400,107280,107501
401,107427,107632
402,107362,107666
403,107467,107666
404,107280,107670
405,107312,107670
406,107343,107670
407,107362,107670
408,107467,107670
409,107343,107708
410,107362,107708
411,107467,107708
412,107503,107708
413,107467,107729
414,107503,107729
415,107062,107731
416,107144,107731
417,107354,107731
418,107312,107798
419,107362,107798
420,107503,107798
421,107570,107798
422,107612,107798
423,108658,109005
424,108768,109005
425,108768,109024
426,108658,109259
427,109113,109296
428,108658,109322
429,108658,109466
430,109063,109466
431,108658,109477
432,108658,109488
433,109063,109488
434,108658,109517
435,109063,109517
436,109345,109526
437,108658,109540
438,109063,109540
439,108658,109553
440,109063,109553
441,108658,109579
442,109063,109579
443,108658,109587
444,108658,109588
445,109063,109588
446,108658,109593
447,108658,109690
448,109063,109690
449,109505,109690
450,108658,109728
451,109063,109728
452,109555,109842
453,109597,109842
454,109620,109842
455,109698,109932
456,109597,109953
457,109620,109953
458,109718,109953
459,109620,109988
460,109718,109988
461,109718,109997
462,109886,110113
463,110011,110392
464,110046,110392
465,110121,110392
466,110198,110392
467,109944,110440
468,110039,110440
469,110240,110440
470,110198,110537
471,110046,110564
472,110121,110564
473,111538,112384
474,114418,115077
475,114418,115133
476,114418,115162
477,114418,115237
478,114418,115252
479,114418,115301
480,114418,115324
481,114418,115328
482,114418,115328
483,114418,115409
484,115841,116030
485,115869,116054
486,116113,116340
487,116183,116374
488,116191,116374
489,116191,116375
490,116215,116414
491,116250,116444
